Title,Price,Benefits,Customizations,Overviews,Detail,Category,Product Rating,Company Name,Company Informations,Link,Store Link,Quantity Sold,Shippings,Skus
Quality control,"['$49.88', '$45.68', '$38.80', '$20.30']",['US $500 coupons'],None,"{'Design Style:': 'Other', 'Feature:': 'Foldable', 'Place of Origin:': 'Guangdong, China', 'Model Number:': 'FAJ708K', 'Brand Name:': 'waterhan', 'Inflatable:': 'Yes', 'Mail packing:': 'N', 'Application:': 'Bathroom', 'Color:': 'Black+red or customization', 'Usage:': 'After inflation', 'MOQ:': '200pcs', 'Use:': 'Sex adds spice', 'Size:': '44cm*156cm*136cm or customization', 'Packing:': 'Carton', 'Payment terms:': 'T/T L/C ALIPAY PAYPAL', 'Advantage:': '15 Years Exported Experience', 'Specific Use:': 'Living Room Sofa', 'General Use:': 'Home Furniture'}",None,Sofa Beds,5.0,"XiaMen MOGlovers Technology Co., Ltd","{'Store rating': '4.9/5', 'On-time delivery rate': '88.3%', 'Response time': '≤5h', 'Transactions': '$240,000+', 'Main markets': 'North America,Western Europe,Northern Europe', 'Customers served': '1', 'Services': 'Design-based customization', 'Quality control': 'Centralized procurement available'}","https://www.alibaba.com/product-detail/Inflatable-Folding-Sofa-Bed-Velvet-Soft_1600279858047.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.03cm6sy52
",https://moglovers.en.alibaba.com/company_profile.html,3 buyers,['Ocean freight'],"['156cm', '']"
Quality control,"['$10.00', '$9.00', '$8.00']",['3-day coupon giveaway: up to US $80 off'],"['Customized logo(Min. order 1000 pieces)', 'Customized packaging(Min. order 1000 pieces)']","{'Feature:': 'Foldable, Convertible', 'General Use:': 'Home Furniture', 'Mail packing:': 'N', 'Application:': 'Bathroom, Living Room, Bedroom, Park', 'Design Style:': 'Modern', 'Type:': 'Air', 'Place of Origin:': 'Guangdong, China', 'Brand Name:': 'Changyuan', 'Model Number:': '78003', 'Cover Material:': 'Flocking', 'Topper Material:': 'PVC', 'Product name:': 'Air Mattress Bed with headboard', 'Material:': 'Flocked PVC', 'Color:': 'Customized Color', 'Packing:': 'Color box + Carton', 'Payment terms:': '30% TT Deposit + 70% Balance'}","1. who are we? 
Dongguan Chang Yuan Plastic Toys Co.,Ltd is a professional manufacturer for all types of inflatable products. We are located in Dongguan city with high reputation of “World Factory”. our main products include Air bed/Mattress, Air furniture, Mats&Lounges, Towable water tube, Snow tube, Boat and other inflatable products.

2. how can we guarantee quality? 
We will offer samples for testing before mass production, also make strict quality inspection before shipping.

3. what can you buy from us? 
Air bed/mattress, Air furniture, Air sofa, Air swimming pool, Towable tube, Snow tube and other inflatable products.

4. why should you buy from us not from other suppliers? 
Air bed supplier of COSTCO; The biggest supplier for swimming pool top sellers of Amazon.com, such as 5 of TOP 10 best-sellers AIRSO, Aquadoo, Panmax, Valwix, Duerer. Own square swimming pool Chinese and USA patent, and ASTM, CPSIA and CPC certificates.",Mattresses,None,"Dongguan Chang Yuan Plastic Toys Co., Ltd.","{'Store rating': '-', 'On-time delivery rate': '50.0%', 'Response time': '≤3h', 'Transactions': '$700+', 'Floorspace': '6000m²', 'Staff': '152', 'Services': 'Minor customization', 'Quality control': 'Design-based customization'}","https://www.alibaba.com/product-detail/Dural-Beam-Elevated-Fiber-Tech-Soft_1600366707262.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.8xq0zg54ak
",https://changyuan1888.en.alibaba.com/company_profile.html,1 buyer,['Express\nOcean freight\nLand freight\nAir freight'],"['', '203*152*46CM']"
new arrived high quality kid bunk bed bedroom living room for relax,None,"['Quick refunds on orders under US $1,000']","['Customized logo(Min. order 2 sets)', 'Customized packaging(Min. order 2 sets)']","{'Design Style:': 'Modern', 'Wood Style:': 'Solid Wood', 'Place of Origin:': 'ZHE', 'Model Number:': '002', 'Brand Name:': 'mtjfurniture', 'Style:': 'Bunk Bed', 'Folded:': 'NO', 'Material:': 'Solid Wood', 'Product name:': 'Hostel Bunk Bed', 'MOQ:': '1 Set', 'Usage:': 'Home Furniture-bedroom Furniture', 'Packing:': 'Carton', 'Function:': 'Bedroom Furinture', 'Bed size:': '1.8x2m', 'Certificate:': 'ISO', 'Service:': 'OEM ODM Customized', 'Warranty:': '1 Year'}",Product category,Wooden Beds,None,"Xuzhou Mutongju Children Furniture Co., Ltd.",None,"https://www.alibaba.com/product-detail/new-arrived-high-quality-kid-bunk_1600295254240.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.t2ro79yqwa
",None,None,['Ocean freight'],None
Quality control,"['$98.00', '$90.00', '$117.00', '$101.00', '$89.00', '$120.00', '$118.00']",['US $10 off with a new supplier'],"['Customized logo(Min. order 200 pieces)', 'Customized packaging(Min. order 200 pieces)']","{'Frame Material:': 'Wooden', 'Design Style:': 'Modern', 'Feature:': 'Storage, Tufted, pneumatic storage function', 'Wood Type:': 'Other', 'Place of Origin:': 'Hebei, China', 'Model Number:': 'C21-005', 'Brand Name:': 'SAITONG', 'Style:': 'Soft Bed', 'Folded:': 'Yes', 'Panel Type:': 'Plywood', 'Mail packing:': 'Y', 'Upholstery Material:': 'synthetic leather', 'Product name:': 'Fabric upholstered bed', 'Color:': 'Can be customized', 'Usage:': 'Bedroom Furniture Modern Bed', 'Size:': 'Headboard is 100cm*10cm Bedside: 27*4cm tailstock 32*8cm', 'MOQ:': '20 Piece', 'Design:': 'Nordic Modern Deisgn', 'Packing:': 'Five layers of carton and pearl cotton', 'Keyword:': 'Wood Bed Modern', 'Structure:': 'Wood + Foam + Leather'}","Q1: Are you a manufacturer company?
A1. Yes, our factory was initially founded in 2005 and we have 15 years experience in furniture   industry,specializing at the medium -high end market. Our products are hot sold all over the with trustworthy quality and competitive price. 

Q2:What's the scale of your factory?
A2.Our direct factories occupy a total of 20000sqm with more than 200 workers.

Q3:What are your main products?
A3. Our main products are customized as customers’ requirement,which include living room, ,bedroom,dining  room,kitchen ,hotel furniture. We are offering you one stop solution , saving your time and expenses.

Q4:Can I choose the color?
A4. Yes ,we have a huge variety of colors and materials for your own selection.

Q5:Can I change the size of product?
A5. Yes you can change the size of the products as per your exact requirements and at the same time,we have our own standard size for all the products as well.

Q6:What's your minimum order quantity(MOQ)?
A6. It depends on the designs that you choose. Normally, we do not ask for MOQ (Minimum Order Quantity).

Q7:Can I buy some samples before the orders?
A7.Yes we can offer you samples before the orders but you will have to pay for the samples.

Q8:How long is the Production Lead Time?
A8.It depends on the designs that you choose. Normally, our products can be ready for delivery from 7days -60days. 

Q9:Can you give warranty of your products?
A9.Yes,our warranty is 10 years,we are proud of our quality since each department we have professional QC teams.We would requst detailed images of any problems or warranty claims - provided emails with detailed pictures are sent,we will dispatch replacements at our cost to repair the products or alternatively supply replacements in subsequent orders. In some special cases we may turn to a discount as a solution.",Up-holstered Beds,5.0,"Langfang Saitong International Trade Co., Ltd.","{'Store rating': '5.0/5', 'On-time delivery rate': '100.0%', 'Response time': '≤4h', 'Transactions': '$10,000+', 'Floorspace': '13100m²', 'Staff': '121', 'Services': 'Minor customization', 'Quality control': 'Design-based customization'}","https://www.alibaba.com/product-detail/Free-Sample-tufted-fabric-double-bed_1600441804540.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.ivyli94u2j
",https://stfurniture.en.alibaba.com/company_profile.html,2 buyers,['Ocean freight'],"['135cm*190cm', '']"
The sell like hot cakes 4 cube intersecting wall mounted floating shelves espresso finish wooden cube shelf,"['$3.00', '$2.00', '$1.00']","['Quick refunds on orders under US $1,000']","['Customized logo(Min. order 1 piece)', 'Customized packaging(Min. order 1 piece)']","{'Feature:': 'Adjustable (height), Adjustable (other), Storage, Eco-Friendly', 'General Use:': 'Home Furniture', 'Type:': 'Living Room Furniture', 'Mail packing:': 'Y', 'Application:': 'Kitchen, Bathroom, Home Office, Living Room, Bedroom, Dining, Hotel, Other, Storage & Closet, Home Bar, Living Room Bathroom Kitchen Office', 'Design Style:': 'Modern', 'Material:': 'Special Walnut', 'Appearance:': 'Modern', 'Folded:': 'NO', 'Inflatable:': 'NO', 'Place of Origin:': 'Shandong, China', 'Brand Name:': 'Xinchun', 'Model Number:': 'XC-B081407', 'Product Name:': 'wooden cube shelf', 'Usage:': 'Home Decorations.Gifts', 'OEM/ODM:': 'Accpeted', 'Function:': 'Hotel .garden.restaurant .banquet. Home. Coffee', 'Keywords:': 'Wall Mounted Floating Wood Shelves', 'Description:': 'Eco-friendly Wood Fast Food Trays', 'Design:': 'Accept Customized Designs', 'Sample:': '5-10 Days'}",None,Other Living Room Furniture,None,"Shandong Cao County Xinchun Craft Products Co., Ltd.",None,"https://www.alibaba.com/product-detail/The-sell-like-hot-cakes-4_1600244895258.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.ogajqw28i
",None,None,['Express\nOcean freight\nLand freight\nAir freight'],"['17*15*10cm,24*20*10cm ,30*26*10cm']"
Metal Bed Frame Hotel Hostel Use Bunk Bed Loft Bed 2022 Wholesale New School Home Design Single Queen King Dorm Adult Student,"['$240.00', '$126.00', '$96.00', '$200.00']","['Quick refunds on orders under US $1,000']","['Customized logo(Min. order 10 sets)', 'Customized packaging(Min. order 10 sets)']","{'Frame Material:': 'Metal', 'Design Style:': 'Modern', 'Application:': 'Bedroom, Hotel, Apartment, School', 'Feature:': 'Adjustable (other)', 'Folded:': 'NO', 'Place of Origin:': 'Liaoning, China', 'Mail packing:': 'N', 'Brand Name:': 'richwinner', 'Model Number:': 'RWB102', 'Product name:': 'Hostel bunk bed', 'Customed size:': 'Available', 'Finishing:': 'Powder coating', 'Structure:': 'Knock down', 'Type of company:': 'Manufacturer', 'Color:': 'Black, Grey, Optional', 'Warranty:': '10 years on normal use', 'After sales service:': '5 years'}","Response Time < 24 hours
                   If you want to know more price and product details, please contact us.",Metal Beds,None,"Shenyang Richwinner Trade Co., Ltd.",None,"https://www.alibaba.com/product-detail/Metal-Bed-Frame-Hotel-Hostel-Use_1600434190928.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.vt9v40kdy2
",None,None,['Express\nOcean freight\nLand freight\nAir freight'],"['', 'L2000*W900*H2200mm']"
2022 New Design Simple Vanity Table With Mirror And Drawers Modern Dressing Table With Lights Around Mirror Professional,"['$12.00', '$11.00', '$10.00', '$8.00']","['Quick refunds on orders under US $1,000']","['Customized logo(Min. order 500 pieces)', 'Customized packaging(Min. order 500 pieces)']","{'Feature:': 'Adjustable (height)', 'Specific Use:': 'Coffee Table', 'General Use:': 'Home Furniture', 'Type:': 'Living Room Furniture, Kids Tables', 'Mail packing:': 'Y, Y', 'Application:': 'Kitchen, Home Office, Living Room, Bedroom, Dining, Hotel, Workshop, Park, Kitchen, Bathroom, Home Office, Living Room, Bedroom, Dining,', 'Design Style:': 'Modern, Modern', 'Material:': 'Wooden, Wood', 'Appearance:': 'Antique', 'Folded:': 'NO', 'Wood Style:': 'PANEL, PANEL', 'Place of Origin:': 'Shandong, China', 'Brand Name:': 'YuShan', 'Model Number:': 'YS-WT-01G', 'Product name:': 'Living Room Furniture, Living room furniture', 'Style::': 'Modern Kids Study Table', 'Size:': 'customized', 'Logo type:': 'Silk printing/Hot stamped/Laser', 'Quality::': 'Top quality'}","Features:

1.Natural and Handmade & Eco-friendly;

2.Material:available for different timber;

3.Hygienic,non-toxic and safe for human use;

4.Strong and Sturdy & Great for Hanging;

5.Small order welcome to custom your design;

6.Affordable,cost effective and sustainable alternative;",Coffee Tables,None,"Linyi Mushan International Trade Co., Ltd.",None,"https://www.alibaba.com/product-detail/2022-New-Design-Simple-Vanity-Table_1600510877606.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.ijaqhr5n8q
",None,1 buyer,['Ocean freight'],"['', '90*40*120cm']"
hidden space saving furniture folding wall mounted bed,['$845.00'],"['Quick refunds on orders under US $1,000']","['Customized logo(Min. order 10 sets)', 'Customized packaging(Min. order 10 sets)']","{'Design Style:': 'Modern', 'Wood Style:': 'Solid Wood', 'Place of Origin:': 'Guangdong, China', 'Model Number:': 'HS-HB120', 'Brand Name:': 'Haoshang', 'Style:': 'Other, Modern-Style', 'Folded:': 'NO', 'Product name:': 'wooden bed with wardrobe', 'Color:': 'Customized Color', 'Size:': 'Customized Size', 'Packing:': 'Standard Packing', 'MOQ:': '1set', 'Material:': 'Wooden', 'Bed size:': '1.2m, 1.5m , 1.8m or customized', 'Type:': 'Bedroom Furniture'}","We have more than a hundred color options, we also could do customized color for big projects. 
The cabinet door materials for select: melamine, uv, lacquer, glass, veneer and solid wood so that we can meet different types of projects' requirements..",Wooden Beds,None,"Qingyuan Haoshang Furniture Manufacture Co., Ltd.",None,"https://www.alibaba.com/product-detail/hidden-space-saving-furniture-folding-wall_1600601976823.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.6n5wcissg
",None,2 buyers,['Express\nOcean freight\nLand freight\nAir freight'],['customize']
Large capacity OEM modern design dressing room 11 drawers led make up vanity table set with mirror,['$390.00'],"['Quick refunds on orders under US $1,000']",['Customized logo(Min. order 100 pieces)'],"{'Design Style:': 'Traditional', 'Application:': 'Bathroom, Living Room, Hotel, Apartment, Other, Dressing room, Bedroom/Dressing room', 'Feature:': 'Makeup table, Eco-friendly', 'Place of Origin:': 'Guangdong, China', 'Mail packing:': 'no', 'Brand Name:': 'Mirror Beauty', 'Model Number:': 'MB-VT-012', 'Product name:': 'Vanity table', 'Color:': 'Customized Color', 'Function:': 'Personal Beauty Care', 'Size:': 'L1500*D600*H800MM', 'logo:': 'Customized logo', 'Material:': 'Glass', 'Appearance:': 'Modern'}",None,Makeup Vanities,None,"Dongguan Mirror Beauty Furniture Co., Ltd.",None,"https://www.alibaba.com/product-detail/Large-capacity-OEM-modern-design-dressing_1600245729923.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.ucy7kem69b
",None,None,['Ocean freight'],"['', 'Customized']"
Certifications,None,['US $10 off with a new supplier'],"['Customized logo(Min. order 1 set)', 'Customized packaging(Min. order 1 set)']","{'Feature:': 'Massage, Storage, reclining', 'Specific Use:': 'Bedroom Set', 'General Use:': 'Home Furniture, Home Furniture', 'Type:': 'Bedroom Furniture', 'Mail packing:': 'N', 'Application:': 'Bedroom', 'Design Style:': 'Modern', 'Material:': 'Wood, solid wood', 'Appearance:': 'Modern, Modern,classic', 'Place of Origin:': 'Guangdong, China', 'Brand Name:': 'CBMMART, Cbmmart', 'Model Number:': 'bedroom set 0409', 'design:': 'different design available', 'quality:': 'A+++', 'size:': 'customized', 'color:': 'many color choose', 'Inflatable:': 'No', 'Product Name:': 'Race Car Bed'}",None,Bedroom Sets,None,Cbmmart Limited,"{'Store rating': '4.7/5', 'On-time delivery rate': '100.0%', 'Response time': '≤8h', 'Transactions': '$450,000+', 'Floorspace': '700m²', 'Main markets': 'North America,Oceania,Western Europe', 'Services': 'Design-based customization', 'Certifications': 'Full customization'}","https://www.alibaba.com/product-detail/Modern-Bedroom-Furniture-Wooden-Frame-Kids_1600178940215.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.guuyagb3zv
",https://chinatosaudi.en.alibaba.com/company_profile.html,None,['Ocean freight'],['']
Certifications,None,"['Quick refunds on orders under US $1,000']","['Customized logo(Min. order 40 sets)', 'Customized packaging(Min. order 40 sets)']","{'Feature:': 'Cooling, Massage, Extendable, Adjustable (height)', 'Design Style:': 'Modern', 'Brand Name:': 'louis donne', 'Mail packing:': 'Y', 'Place of Origin:': 'Guangdong, China', 'Model Number:': '2131', 'Upholstery Material:': 'GENUINE LEATHER', 'Remote Control:': 'NO', 'Type:': 'Set, Living Room Furniture', 'Frame Material:': 'Wood+Metal', 'MOQ:': '2 Pcs', 'Cover Material:': 'Top Grain Leather', 'Warranty:': '2 Year', 'Delivery time:': '15-20 Days', 'Key words:': 'theater', 'Package:': 'Carton box+soft package', 'Main material:': 'Solid Wood+leather', 'Colors:': 'Many colors available'}",Home theater power electric fabric germany recliner sofa,Recliners,5.0,"Shenzhen Dayer Home Furnishing Technology Co., Ltd.","{'Store rating': '5.0/5', 'On-time delivery rate': '86.2%', 'Response time': '≤5h', 'Transactions': '$20,000+', 'Floorspace': '13402m²', 'Staff': '129', 'Services': 'Minor customization', 'Quality control': 'Design-based customization', 'Certifications': 'Finished product inspection'}","https://www.alibaba.com/product-detail/Amazon-hot-sale-genuine-leather-recliner_1600415160131.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.uhw8pz7p3m
",https://dayer.en.alibaba.com/company_profile.html,2 buyers,['Express\nOcean freight\nLand freight\nAir freight'],"['', '233*108*114']"
Quality control,['$629.00'],"['Quick refunds on orders under US $1,000']","['Customized logo(Min. order 30 sets)', 'Customized packaging(Min. order 30 sets)']","{'Application:': 'Home Office, Living Room, Bedroom, Dining, Hotel, Apartment, Office Building, Hospital, School, Leisure Facilities, Supermarket, Hall, Home Bar, Other', 'Feature:': 'Adjustable (other), Extendable, Modular, Storage, Sofa Bed, Removable Cover, Adjustable (height), reclining', 'Material:': 'GENUINE LEATHER', 'Design Style:': 'Modern', 'Inflatable:': 'NO', 'Type:': 'Set', 'Style:': 'Sectional Sofa', 'Brand Name:': 'KEHUI or Customization', 'Mail packing:': 'Y', 'Place of Origin:': 'Guangdong, China', 'Model Number:': 'G8046', 'Product name:': 'L shape cama sitting room furniture couch living room sofa', 'Product Type:': 'Corner Sofa', 'Color:': 'Customization', 'Cover Material:': 'GENUINE LEATHER', 'Product Size:': '210* 402*80 CM or Customization', 'Whether installation is required:': 'Yes', 'Frame:': 'Wooden', 'MOQ:': '1 Sets', 'Packing:': 'Carton', 'Payment:': 'L/C, D/A, D/P, T/T, Western Union, MoneyGram'}","UNIQUE ADVANTAGES
 * This eye-catching combination will be the perfect end to your modern home decor, with luxury like porsche or Mercedes-Benz interior leather, this group will complement your existing interior design
* You can spread it out and turn it into a sofa bed.
* The headrest can be adjusted freely
* Assemble in 10 minutes or less.
* This item is made to order just for you.",Living Room Sofas,5.0,"Dongguan Kehui Smart Home Co., Ltd.","{'Store rating': '5.0/5', 'On-time delivery rate': '83.3%', 'Response time': '≤3h', 'Transactions': '$50,000+', 'Main markets': 'North America,Mid East,Southeast Asia', 'Services': 'Minor customization', 'Quality control': 'Design-based customization'}","https://www.alibaba.com/product-detail/Furniture-sofa-set-modern-smart-luxury_1600460241202.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.s65gz2a4ym
",https://kehui1688.en.alibaba.com/company_profile.html,10 buyers,['Express\nOcean freight\nLand freight'],"['', '210* 402*80 CM']"
bunk bed for children bunk beds dormitory bunk bed,None,"['Quick refunds on orders under US $1,000']","['Customized logo(Min. order 2 sets)', 'Customized packaging(Min. order 2 sets)']","{'Design Style:': 'Contemporary', 'Wood Style:': 'Solid Wood', 'Wood Type:': 'Pine', 'Place of Origin:': 'China', 'Model Number:': 'bunk bed', 'Brand Name:': 'mutongju', 'Style:': 'Bunk Bed, Modern-Style', 'Folded:': 'NO', 'MOQ:': '1 Set', 'Color:': ""Customer's Request"", 'Design:': 'Modern Deisgn', 'Function:': 'Bedroom Furinture', 'Packing:': 'Carton', 'Warranty:': '1 Year', 'Product name:': 'Wooden Bunk Bed', 'Frame:': 'Solid Wood+Slat', 'General Use:': 'Home Furniture'}","To better ensure the safety of your goods, professional, environmentally friendly, convenient and efficient packaging services will be provided.",Wooden Beds,None,"Xuzhou Mutongju Children Furniture Co., Ltd.",None,"https://www.alibaba.com/product-detail/bunk-bed-for-children-bunk-beds_1600292185174.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.ayvzdanwdq
",None,None,['Ocean freight\nLand freight'],None
Hot Selling Marble top stainless steel base bronzed modern hallway luxury marble retro console table,"['$79.95', '$22.00', '$15.00']","['Quick refunds on orders under US $1,000']","['Customized logo(Min. order 500 pieces)', 'Customized packaging(Min. order 500 pieces)']","{'Feature:': 'Modern', 'Specific Use:': 'CONSOLE TABLE', 'General Use:': 'Home Furniture', 'Type:': 'Living Room Furniture', 'Mail packing:': 'Y', 'Application:': 'Living Room, Entry', 'Design Style:': 'Modern', 'Material:': 'Metal, Iron+Marble', 'Appearance:': 'Modern', 'Place of Origin:': 'Fujian, China', 'Brand Name:': 'EVERSTAR', 'Model Number:': 'FT2021010476', 'Color:': 'Picture', 'MOQ:': '200pcs', 'Size:': '80*30*85CM/Can be customized', 'support:': '20000PCS/MONTH', 'Keywords:': 'LuxuryConsoleTable', 'Usage:': 'Home decor', 'Shape:': 'Rectangle', 'Package:': 'REGULAR EXPORT PACKING'}","    Located in the beautiful coastal city of Xiamen,China,We,Xiamen Everstar Trading Inc.(Anxi Everstar Home Furnishing Inc.) have been specializing in sample development and manufacturing and trading GARDEN with decor,planter,wall,solar light & lantern,furniture and home decor more over 20 years. 

   On one hand, with worldwide market research & independent designing & own sample development workshop & own manufacturing & also nationwide co-factories,we come up with up to 500 new items with competitive prices and up to 100 containers production capacity monthly.On the other hand,quality control is our priority and we pay much attention to it by supervising the production procedures to make orders effected smoothly. 

   Benefitting from our response effeciency, We are exporting to worldwide market such as US chain stores Homegoods,T.J.Maxx,Marshalls,At Home,Ross Stores mostly via USA wholesalers, Maison from France, Glide from Germany,Premier from UK,Home Center(Landmark) from UAE,and much more. 

Campany's  Faith is Love Garden,Love Life! Let us built a beautiful future together!",Console Tables,None,Xiamen Everstar Trading Inc.,None,"https://www.alibaba.com/product-detail/Hot-Selling-Marble-top-stainless-steel_1600264194660.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.n9myvtj2hp
",None,None,['Ocean freight'],"['', '80*30*85CM']"
Certifications,None,"['Quick refunds on orders under US $1,000']","['Customized logo(Min. order 20 pieces)', 'Customized packaging(Min. order 20 pieces)']","{'Design Style:': 'Modern', 'Application:': 'Bedroom', 'Feature:': 'Adjustable (other)', 'Material:': 'Glass', 'Place of Origin:': 'Guangdong, China', 'Mail packing:': 'N', 'Brand Name:': 'dgwangsheng', 'Model Number:': 'WS-LA032', 'Usage:': 'Bedroom Dressing Table', 'Style:': 'Luxury Classic', 'Color:': 'Optional', 'Keywords:': 'Dresser Set Bedroom Dressing Table Furniture', 'Packing:': '1PC/CTN', 'Main material:': 'MDF+Mirror+Diamond', 'Description:': 'Professional Makeup Dressing Table', 'OEM:': 'Accpeted', 'Warranty:': '1 Year', 'Logo:': 'Customized Logo', 'Specific Use:': 'Dresser', 'General Use:': 'Home Furniture', 'Type:': 'Bedroom Furniture', 'Appearance:': 'Modern'}","We are specialized in making all kinds of glass accessories for sample rooms,hotels,weeden furniture,sofa,edge grinding and tempering for glass accessories,Venice Carve glass,glass jewelry box for dressing tables,glass frame,glass candle stick,tea tables,parts for hardware furniture,sandblasting frosting,silk printing,melting,heat bending for lighting glass,bathroom accessories,tissue box,dustbin,cotton box,soap box and so on. Welcome to send us your samples or drawings for customer-made orders.Welcome to purchase our glass furniture,class arts and crafts without limit on the minimum order quality .",Makeup Vanities,None,Dongguan Wangsheng Mirror Furniture Factory,"{'Store rating': '-', 'On-time delivery rate': '100.0%', 'Response time': '≤5h', 'Transactions': '$10,000+', 'Floorspace': '18400m²', 'Staff': '106', 'Quality control': 'QA/QC inspectors (4)', 'Certifications': 'Certificates'}","https://www.alibaba.com/product-detail/Luxury-Crushed-Diamond-Bedroom-Furniture-Vanity_1600324648069.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.hv6bnqrk3j
",https://dgwangsheng.en.alibaba.com/company_profile.html,None,['Ocean freight'],"['', '130x55x80cm']"
Hot sale portable clothes wardrobe organizer closet Folding non-woven fabric plastic custom bedroom wardrobe closet,None,"['Quick refunds on orders under US $1,000']","['Customized logo(Min. order 400 pieces)', 'Graphic customization(Min. order 400 pieces)']","{'Feature:': 'Foldable', 'Specific Use:': 'Wardrobe', 'General Use:': 'Home Furniture', 'Type:': 'Bedroom Furniture', 'Mail packing:': 'Y', 'Application:': 'Living Room, Bedroom, Hotel, Garage & Shed', 'Design Style:': 'Modern', 'Material:': 'cloth metal', 'Appearance:': 'Modern', 'Folded:': 'Yes', 'Place of Origin:': 'Henan, China', 'Brand Name:': 'naige', 'Model Number:': 'NG-SN-YG-0010', 'Style:': 'Modern-Style'}","Q1. Are you a factory or only trading company?
We are integration of factory and trade. 

Q2. How About the price?
We have our factory, so we provide competitive price. Besides, the price also depends on your demand (different filling and cover have different price), we make a price range for you to choose.

Q3. Can you make the color or logo as we need?
Frankly, it depends on the products. Most products can be customized in the color and logo.

Q4. Can you help for design? 
Yes, we have our own designer, you can give us your idea, we can provide design work.

Q5. How can I get the sample?
After approved the design, material and printing or embroidery, you pay the sample cost, then we will make the sample for you. We will give the photos of the sample once we finish it, if you are satisfied with the sample, we will send the sample to you.

Q6. If I didn’t find what we want on your website, what should I do?
Email us the detail of the products what you want, then we will provide customized service for you",Wardrobes,None,"Luoyang Naige Import And Export Co., Ltd.",None,"https://www.alibaba.com/product-detail/Hot-sale-portable-clothes-wardrobe-organizer_10000008133828.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.jxyvld99q
",None,4 buyers,['Express\nOcean freight\nLand freight\nAir freight'],"['', '150*45*175cm']"
Factory custom pink gold trim morden luxury velvet fabric lounge recliner 2 or 3 seater couch living room sofa,"['$80.00', '$45.00', '$41.00', '$28.00']","['Quick refunds on orders under US $1,000']","['Customized logo(Min. order 50 pieces)', 'Customized packaging(Min. order 50 pieces)']","{'Feature:': 'reclining, Removable Cover, metal legs', 'Specific Use:': 'Living Room Chair', 'General Use:': 'Home Furniture', 'Type:': 'Living Room Furniture', 'Mail packing:': 'Y', 'Application:': 'Home Office, Living Room, Bedroom, Hotel, Apartment, Office Building, Hospital, School, Mall, Leisure Facilities, Supermarket, Warehouse', 'Design Style:': 'Modern', 'Material:': 'velvet fabric', 'Appearance:': 'Modern', 'Style:': 'Leisure Chair', 'Folded:': 'NO', 'Place of Origin:': 'Zhejiang, China', 'Brand Name:': 'OEM', 'Model Number:': 'LX-6060', 'Product name:': 'Sofa Chair Leisure Chair', 'Usage:': 'Living Room Funiture', 'Color:': 'pink, grey, blue,navy', 'Function:': 'Hotel .restaurant .banquet. Home. Coffee', 'Keyword:': 'Leisure Chair Modern', 'Main material:': 'fabric, wood, metal, foam', 'Fabric material:': 'Velvet Fabric', 'Packing:': 'Carton', 'Load capacity:': '320lb', 'Rotatable:': 'NO'}",Small apartment modern nordic luxury sectional velvet fabrics wax leather couch lazy sofa chair set for living room furniture,Living Room Chairs,None,"Zhejiang Linxin Smart Home Co., Ltd.",None,"https://www.alibaba.com/product-detail/Factory-custom-pink-gold-trim-morden_1600466993107.html?spm=a27aq.industry_category_productlist.fp_behavior_product.0.epdknksivl
",None,None,['Ocean freight'],"['', 'single seat (73*73*78CM)']"
